Image,Voltage,Strategy,Power(mW),Power_Saving(%),Distortion(%)
Image_14,9.0,none,263.94,77.54,9.6136
Image_14,9.0,brightness,288.11,75.49,9.0413
Image_14,9.0,contrast,290.12,75.32,8.99
Image_14,9.0,both,314.48,73.24,8.4085
Image_15,15.0,none,1352.67,0.0,0.0
Image_15,15.0,brightness,1351.15,0.11,0.0627
Image_15,15.0,contrast,1351.15,0.11,0.0627
Image_15,15.0,both,1351.15,0.11,0.0627
Image_15,14.0,none,1127.07,16.68,2.0356
Image_15,14.0,brightness,1143.11,15.49,1.7686
Image_15,14.0,contrast,1153.49,14.72,1.6164
Image_15,14.0,both,1172.6,13.31,1.3232
Image_15,13.0,none,920.81,31.93,4.1255
Image_15,13.0,brightness,948.12,29.91,3.647
Image_15,13.0,contrast,964.94,28.66,3.3712
Image_15,13.0,both,994.49,26.48,2.8666
Image_15,12.0,none,733.91,45.74,6.2833
Image_15,12.0,brightness,767.46,43.26,5.6183
Image_15,12.0,contrast,784.94,41.97,5.3101
Image_15,12.0,both,817.79,39.54,4.6839
Image_15,11.0,none,566.35,58.13,8.5202
Image_15,11.0,brightness,598.75,55.74,7.8075
Image_15,11.0,contrast,615.43,54.5,7.4666
Image_15,11.0,both,646.26,52.22,6.8056
Image_15,10.0,none,418.13,69.09,10.863
Image_15,10.0,brightness,445.93,67.03,10.1518
Image_15,10.0,contrast,459.11,66.06,9.8468
Image_15,10.0,both,484.03,64.22,9.2312
Image_15,9.0,none,289.26,78.62,13.3663
Image_15,9.0,brightness,308.77,77.17,12.7654
Image_15,9.0,contrast,317.6,76.52,12.5111
Image_15,9.0,both,334.52,75.27,12.0131
Image_16,15.0,none,1327.65,0.0,0.0
Image_16,15.0,brightness,1326.22,0.11,0.0646
Image_16,15.0,contrast,1326.22,0.11,0.0646
Image_16,15.0,both,1326.22,0.11,0.0646
Image_16,14.0,none,1106.68,16.64,1.7186
Image_16,14.0,brightness,1123.87,15.35,1.4877
Image_16,14.0,contrast,1132.8,14.68,1.3714
Image_16,14.0,both,1153.19,13.14,1.1038
Image_16,13.0,none,904.64,31.86,3.4791
Image_16,13.0,brightness,933.99,29.65,3.0464
Image_16,13.0,contrast,948.75,28.54,2.838
Image_16,13.0,both,981.05,26.11,2.365
Image_16,12.0,none,721.52,45.65,5.2947
Image_16,12.0,brightness,757.24,42.96,4.6972
Image_16,12.0,contrast,773.16,41.77,4.4547
Image_16,12.0,both,809.86,39.0,3.8577
Image_16,11.0,none,557.32,58.02,7.1754
Image_16,11.0,brightness,592.05,55.41,6.5254
Image_16,11.0,contrast,607.58,54.24,6.252
Image_16,11.0,both,642.94,51.57,5.6035
Image_16,10.0,none,412.04,68.96,9.1402
Image_16,10.0,brightness,441.87,66.72,8.4925
Image_16,10.0,contrast,454.56,65.76,8.2393
Image_16,10.0,both,483.87,63.55,7.6208
Image_16,9.0,none,285.69,78.48,11.2111
Image_16,9.0,brightness,306.68,76.9,10.6815
Image_16,9.0,contrast,315.47,76.24,10.4681
Image_16,9.0,both,335.82,74.71,9.9609
Image_17,15.0,none,1461.75,0.0,0.0
Image_17,15.0,brightness,1460.42,0.09,0.0579
Image_17,15.0,contrast,1460.42,0.09,0.0579
Image_17,15.0,both,1460.42,0.09,0.0579
Image_17,14.0,none,1215.95,16.82,2.0282
Image_17,14.0,brightness,1231.95,15.72,1.7895
Image_17,14.0,contrast,1242.44,15.0,1.6506
Image_17,14.0,both,1260.98,13.74,1.3888
Image_17,13.0,none,991.34,32.18,4.1121
Image_17,13.0,brightness,1018.64,30.31,3.6799
Image_17,13.0,contrast,1034.36,29.24,3.4434
Image_17,13.0,both,1062.18,27.34,3.0078
Image_17,12.0,none,787.93,46.1,6.259
Image_17,12.0,brightness,821.07,43.83,5.6639
Image_17,12.0,contrast,836.64,42.76,5.4108
Image_17,12.0,both,866.82,40.7,4.8819
Image_17,11.0,none,605.71,58.56,8.488
Image_17,11.0,brightness,637.62,56.38,7.8504
Image_17,11.0,contrast,651.72,55.42,7.5869
Image_17,11.0,both,679.59,53.51,7.0384
Image_17,10.0,none,444.68,69.58,10.818
Image_17,10.0,brightness,471.83,67.72,10.184
Image_17,10.0,contrast,482.51,66.99,9.9588
Image_17,10.0,both,504.78,65.47,9.4521
Image_17,9.0,none,304.84,79.15,13.2869
Image_17,9.0,brightness,323.8,77.85,12.7645
Image_17,9.0,contrast,330.67,77.38,12.5848
Image_17,9.0,both,345.72,76.35,12.1778
Image_18,15.0,none,1131.99,0.0,0.0
Image_18,15.0,brightness,1130.19,0.16,0.0723
Image_18,15.0,contrast,1130.19,0.16,0.0723
Image_18,15.0,both,1130.19,0.16,0.0723
Image_18,14.0,none,947.26,16.32,1.7551
Image_18,14.0,brightness,963.91,14.85,1.4495
Image_18,14.0,contrast,967.63,14.52,1.4023
Image_18,14.0,both,987.13,12.8,1.0771
Image_18,13.0,none,778.14,31.26,3.5561
Image_18,13.0,brightness,806.15,28.78,3.0371
Image_18,13.0,contrast,812.7,28.21,2.9163
Image_18,13.0,both,843.24,25.51,2.3512
Image_18,12.0,none,624.62,44.82,5.4154
Image_18,12.0,brightness,658.87,41.79,4.6709
Image_18,12.0,contrast,664.99,41.25,4.5821
